Topics,Alpha,Beta,Coherence
5,1.0,0.2,0.6087348690047772
10,0.01,0.1,0.46230994156252275
10,0.05,0.1,0.47100868112304184
10,0.1,0.1,0.4645652436245665
10,0.2,0.1,0.45068854320280816
10,0.5,0.1,0.5386711743273569
10,1.0,0.1,0.5905648087936453
20,0.01,0.05,0.37419160074902696
20,0.05,0.05,0.4036052238359666
20,0.1,0.05,0.39344677109201076
20,0.2,0.05,0.4141246498303642
20,0.5,0.05,0.44710526955742225
20,1.0,0.05,0.4593533697380291
30,0.01,0.03333333333333333,0.4080856618215486
30,0.05,0.03333333333333333,0.41045594125848694
30,0.1,0.03333333333333333,0.4037927010196475
30,0.2,0.03333333333333333,0.38635844119574325
30,0.5,0.03333333333333333,0.3409825088934663
30,1.0,0.03333333333333333,0.3825148046459521
5,0.01,0.2,0.5267041879488744
5,0.05,0.2,0.5255925037964797
5,0.1,0.2,0.5222324395553346
5,0.2,0.2,0.5700077763053673
5,0.5,0.2,0.6070406397399928
5,1.0,0.2,0.6087348690047772
10,0.01,0.1,0.46230994156252275
10,0.05,0.1,0.47100868112304184
10,0.1,0.1,0.4645652436245665
10,0.2,0.1,0.45068854320280816
10,0.5,0.1,0.5386711743273569
10,1.0,0.1,0.5905648087936453
20,0.01,0.05,0.37419160074902696
20,0.05,0.05,0.4036052238359666
20,0.1,0.05,0.39344677109201076
20,0.2,0.05,0.4141246498303642
20,0.5,0.05,0.44710526955742225
20,1.0,0.05,0.4593533697380291
30,0.01,0.03333333333333333,0.4080856618215486
30,0.05,0.03333333333333333,0.41045594125848694
30,0.1,0.03333333333333333,0.4037927010196475
30,0.2,0.03333333333333333,0.38635844119574325
30,0.5,0.03333333333333333,0.3409825088934663
30,1.0,0.03333333333333333,0.3825148046459521
5,0.01,0.2,0.5267041879488744
5,0.05,0.2,0.5255925037964797
5,0.1,0.2,0.5222324395553346
5,0.2,0.2,0.5700077763053673
5,0.5,0.2,0.6070406397399928
5,1.0,0.2,0.6087348690047772
10,0.01,0.1,0.46230994156252275
10,0.05,0.1,0.47100868112304184
10,0.1,0.1,0.4645652436245665
10,0.2,0.1,0.45068854320280816
10,0.5,0.1,0.5386711743273569
10,1.0,0.1,0.5905648087936453
20,0.01,0.05,0.37419160074902696
20,0.05,0.05,0.4036052238359666
20,0.1,0.05,0.39344677109201076
20,0.2,0.05,0.4141246498303642
20,0.5,0.05,0.44710526955742225
20,1.0,0.05,0.4593533697380291
30,0.01,0.03333333333333333,0.4080856618215486
30,0.05,0.03333333333333333,0.41045594125848694
30,0.1,0.03333333333333333,0.4037927010196475
30,0.2,0.03333333333333333,0.38635844119574325
30,0.5,0.03333333333333333,0.3409825088934663
30,1.0,0.03333333333333333,0.3825148046459521
5,0.01,0.2,0.5267041879488744
5,0.05,0.2,0.5255925037964797
5,0.1,0.2,0.5222324395553346
5,0.2,0.2,0.5700077763053673
5,0.5,0.2,0.6070406397399928
5,1.0,0.2,0.6087348690047772
10,0.01,0.1,0.46230994156252275
10,0.05,0.1,0.47100868112304184
10,0.1,0.1,0.4645652436245665
10,0.2,0.1,0.45068854320280816
10,0.5,0.1,0.5386711743273569
10,1.0,0.1,0.5905648087936453
20,0.01,0.05,0.37419160074902696
20,0.05,0.05,0.4036052238359666
20,0.1,0.05,0.39344677109201076
20,0.2,0.05,0.4141246498303642
20,0.5,0.05,0.44710526955742225
20,1.0,0.05,0.4593533697380291
30,0.01,0.03333333333333333,0.4080856618215486
30,0.05,0.03333333333333333,0.41045594125848694
30,0.1,0.03333333333333333,0.4037927010196475
30,0.2,0.03333333333333333,0.38635844119574325
30,0.5,0.03333333333333333,0.3409825088934663
30,1.0,0.03333333333333333,0.3825148046459521
5,0.01,0.2,0.5267041879488744
5,0.05,0.2,0.5255925037964797
5,0.1,0.2,0.5222324395553346
5,0.2,0.2,0.5700077763053673
5,0.5,0.2,0.6070406397399928
5,1.0,0.2,0.6087348690047772
10,0.01,0.1,0.46230994156252275
10,0.05,0.1,0.47100868112304184
10,0.1,0.1,0.4645652436245665
10,0.2,0.1,0.45068854320280816
10,0.5,0.1,0.5386711743273569
10,1.0,0.1,0.5905648087936453
20,0.01,0.05,0.37419160074902696
20,0.05,0.05,0.4036052238359666
20,0.1,0.05,0.39344677109201076
20,0.2,0.05,0.4141246498303642
20,0.5,0.05,0.44710526955742225
20,1.0,0.05,0.4593533697380291
30,0.01,0.03333333333333333,0.4080856618215486
30,0.05,0.03333333333333333,0.41045594125848694
30,0.1,0.03333333333333333,0.4037927010196475
30,0.2,0.03333333333333333,0.38635844119574325
30,0.5,0.03333333333333333,0.3409825088934663
30,1.0,0.03333333333333333,0.3825148046459521
